DIA;COMPRA;VENTA;;
18 Ago 1984;43.75;44.25;;
19 Ago 1984;43.75;44.25;;
20 Ago 1984;43.75;44.25;;
21 Ago 1984;43.75;44.25;;
22 Ago 1984;43.75;44.25;;
23 Ago 1984;43.75;44.25;;
24 Ago 1984;43.75;44.25;;
25 Ago 1984;43.75;44.25;;
26 Ago 1984;43.75;44.25;;
27 Ago 1984;43.75;44.25;;
28 Ago 1984;43.75;44.25;;
29 Ago 1984;43.75;44.25;;
30 Ago 1984;43.75;44.25;;
31 Ago 1984;43.75;44.25;;
1 Set 1984;43.75;44.25;;
2 Set 1984;43.75;44.25;;
3 Set 1984;44.50;45.00;;
4 Set 1984;44.50;45.00;;
5 Set 1984;44.50;45.00;;
6 Set 1984;44.50;45.00;;
7 Set 1984;44.50;45.00;;
8 Set 1984;44.50;45.00;;
9 Set 1984;44.50;45.00;;
10 Set 1984;44.50;45.00;;
11 Set 1984;44.50;45.00;;
12 Set 1984;44.50;45.00;;
13 Set 1984;44.50;45.00;;
14 Set 1984;44.50;45.00;;
15 Set 1984;44.50;45.00;;
16 Set 1984;44.50;45.00;;
17 Set 1984;44.50;45.00;;
18 Set 1984;44.50;45.00;;
19 Set 1984;44.50;45.00;;
20 Set 1984;44.50;45.00;;
21 Set 1984;44.50;45.00;;
22 Set 1984;44.50;45.00;;
23 Set 1984;44.50;45.00;;
24 Set 1984;44.50;45.00;;
25 Set 1984;44.50;45.00;;
26 Set 1984;44.50;45.00;;
27 Set 1984;44.50;45.00;;
28 Set 1984;44.50;45.00;;
29 Set 1984;44.50;45.00;;
30 Set 1984;44.50;45.00;;
1 Oct 1984;44.50;45.00;;
2 Oct 1984;44.50;45.00;;
3 Oct 1984;44.50;45.00;;
4 Oct 1984;44.50;45.00;;
5 Oct 1984;44.50;45.00;;
6 Oct 1984;44.50;45.00;;
7 Oct 1984;44.50;45.00;;
8 Oct 1984;44.50;45.00;;
9 Oct 1984;44.50;45.00;;
10 Oct 1984;44.50;45.00;;
11 Oct 1984;44.50;45.00;;
12 Oct 1984;44.50;45.00;;
13 Oct 1984;44.50;45.00;;
14 Oct 1984;44.50;45.00;;
15 Oct 1984;44.50;45.00;;
16 Oct 1984;44.50;45.00;;
17 Oct 1984;44.50;45.00;;
18 Oct 1984;44.50;45.00;;
19 Oct 1984;44.50;45.00;;
20 Oct 1984;44.50;45.00;;
21 Oct 1984;44.50;45.00;;
22 Oct 1984;44.50;45.00;;
23 Oct 1984;44.50;45.00;;
24 Oct 1984;44.50;45.00;;
25 Oct 1984;47.50;48.00;;
26 Oct 1984;47.50;48.00;;
27 Oct 1984;47.50;48.00;;
28 Oct 1984;47.50;48.00;;
29 Oct 1984;47.50;48.00;;
30 Oct 1984;47.50;48.00;;
31 Oct 1984;47.50;48.00;;
1 Nov 1984;47.50;48.00;;
2 Nov 1984;47.50;48.00;;
3 Nov 1984;47.50;48.00;;
4 Nov 1984;47.50;48.00;;
5 Nov 1984;47.50;48.00;;
6 Nov 1984;47.50;48.00;;
7 Nov 1984;47.50;48.00;;
8 Nov 1984;47.50;48.00;;
9 Nov 1984;47.50;48.00;;
10 Nov 1984;47.50;48.00;;
11 Nov 1984;47.50;48.00;;
12 Nov 1984;47.50;48.00;;
13 Nov 1984;47.50;48.00;;
14 Nov 1984;47.50;48.00;;
15 Nov 1984;47.50;48.00;;
16 Nov 1984;47.50;48.00;;
17 Nov 1984;47.50;48.00;;
18 Nov 1984;47.50;48.00;;
19 Nov 1984;47.50;48.00;;
20 Nov 1984;47.50;48.00;;
21 Nov 1984;47.50;48.00;;
22 Nov 1984;47.50;48.00;;
23 Nov 1984;47.50;48.00;;
24 Nov 1984;47.50;48.00;;
25 Nov 1984;47.50;48.00;;
26 Nov 1984;47.50;48.00;;
27 Nov 1984;47.50;48.00;;
28 Nov 1984;47.50;48.00;;
29 Nov 1984;47.50;48.00;;
30 Nov 1984;47.50;48.00;;
1 Dic 1984;47.50;48.00;;
2 Dic 1984;47.50;48.00;;
3 Dic 1984;47.50;48.00;;
4 Dic 1984;47.50;48.00;;
5 Dic 1984;47.50;48.00;;
6 Dic 1984;47.50;48.00;;
7 Dic 1984;47.50;48.00;;
8 Dic 1984;47.50;48.00;;
9 Dic 1984;47.50;48.00;;
10 Dic 1984;47.50;48.00;;
11 Dic 1984;47.50;48.00;;
12 Dic 1984;47.50;48.00;;
13 Dic 1984;47.50;48.00;;
14 Dic 1984;47.50;48.00;;
15 Dic 1984;47.50;48.00;;
16 Dic 1984;47.50;48.00;;
17 Dic 1984;47.50;48.00;;
18 Dic 1984;47.50;48.00;;
19 Dic 1984;47.50;48.00;;
20 Dic 1984;47.50;48.00;;
21 Dic 1984;47.50;48.00;;
22 Dic 1984;47.50;48.00;;
23 Dic 1984;47.50;48.00;;
24 Dic 1984;47.50;48.00;;
25 Dic 1984;47.50;48.00;;
26 Dic 1984;47.50;48.00;;
27 Dic 1984;47.50;48.00;;
28 Dic 1984;47.50;48.00;;
